state,acute-cases
Kentucky,226
Indiana,175
Massachusetts,174
Florida,134
New York,131
Ohio,116
New Jersey,106
Tennessee,98
Pennsylvania,81
North Carolina,79
Michigan,74
California,72
Washington,63
West Virginia,58
Maryland,53
Georgia,48
Minnesota,47
Virginia,41
Oklahoma,40
Wisconsin,40
Illinois,37
Alabama,30
Arkansas,30
Texas,28
Colorado,21
Louisiana,19
Kansas,17
Montana,16
Idaho,14
Oregon,14
New Mexico,12
Utah,11
Nevada,9
Maine,8
Missouri,6
North Dakota,4
Vermont,3
Nebraska,2
South Dakota,1
Alaska,0
Arizona,0
Connecticut,0
Delaware,0
District of Columbia,0
Hawaii,0
Iowa,0
Mississippi,0
New Hampshire,0
Rhode Island,0
South Carolina,0
Wyoming,0
American Samoa,0
Guam,0
Northern Mariana Islands,0
Puerto Rico,0
U.S. Virgin Islands,0
