code,state,total-leads,hepc-cases,hiv-cases,total-boomer-pop
AL,Alabama,1905,30,622,1245100
AZ,Arizona,2765,0,749,1614899
AR,Arkansas,404,30,384,748449
AR,Arkansas,1269,30,384,748449
CA,California,10852,72,5315,9232738
CO,Colorado,1585,21,329,1337038
CT,Connecticut,1078,0,347,998151
DE,Delaware,352,0,127,241209
DC,District of Columbia,296,0,612,144316
FL,Florida,9084,134,5364,4987572
GA,Georgia,3159,48,3011,2482912
HI,Hawaii,311,0,87,335710
ID,Idaho,499,14,28,384689
IL,Illinois,2890,37,2077,3344669
IN,Indiana,2197,175,506,1695219
IA,Iowa,703,0,127,803304
KS,Kansas,956,17,155,730721
KY,Kentucky,1926,226,403,1169179
LA,Louisiana,2332,19,1398,1165219
ME,Maine,400,8,31,406977
MD,Maryland,2329,53,2168,1577060
MA,Massachusetts,2054,174,992,1843831
MI,Michigan,2838,74,814,2787767
MN,Minnesota,894,47,316,1440472
MS,Mississippi,1045,0,536,744967
MO,Missouri,2276,6,482,1609809
MT,Montana,422,16,22,280279
NE,Nebraska,471,2,77,460879
NV,Nevada,1212,9,459,683625
NH,New Hampshire,498,0,33,400563
NJ,New Jersey,2857,106,2169,2417685
NM,New Mexico,955,12,149,522598
NY,New York,5440,131,3800,5303922
NC,North Carolina,3210,79,1566,2472867
ND,North Dakota,165,4,19,166890
OH,Ohio,3677,116,1200,3180756
OK,Oklahoma,1924,40,459,937881
OR,Oregon,1538,14,230,1056152
PA,Pennsylvania,4596,81,1419,3524079
RI,Rhode Island,292,0,80,294208
SC,South Carolina,1578,0,776,1228200
SD,South Dakota,212,1,34,214403
TN,Tennessee,3121,98,839,1695819
TX,Texas,11468,28,4836,5899576
UT,Utah,761,11,92,558635
VT,Vermont,174,3,14,190321
VA,Virginia,2555,41,1054,2106298
WA,Washington,2672,63,476,1820038
WV,West Virginia,803,58,81,521052
WI,Wisconsin,1043,40,263,1570438
WY,Wyoming,184,0,14,147794
